name,v_nom,x,y,carrier
Beauly,275,-4.533299377,57.4698758,AC
Peterhead,275,-1.804331289,57.48448144,AC
Errochty,275,-4.05490739,56.72457146,AC
Denny/Bonnybridge,275,-3.725281994,56.10923715,AC
Neilston,400,-4.414788151,55.8088314,AC
Strathaven,400,-3.880268135,55.75398831,AC
Torness,400,-2.50744844,55.92240072,AC
Eccles,400,-2.229827439,55.67725497,AC
Harker,400,-2.847819676,54.93117564,AC
Stella West,400,-1.667839578,54.98716161,AC
Penwortham,400,-2.679880458,53.77690972,AC
Deeside,400,-3.072207852,53.22303027,AC
Daines,400,-2.181395425,53.36145567,AC
Th. Marsh/Stocksbridge,400,-1.392935875,53.46704192,AC
Thornton/Drax/Eggborough,400,-0.9897525,53.83342756,AC
Keadby,400,-0.683866095,53.49343566,AC
Ratcliffe,400,-1.065185055,52.87644424,AC
Feckenham,400,-1.958840539,52.29694424,AC
Walpole,400,0.244973292,52.73047621,AC
Bramford,400,1.159650842,52.08873754,AC
Pelham,400,0.164053518,51.98279068,AC
Sundon/East Claydon,400,-0.634044034,51.95729432,AC
Melksham,400,-2.224943705,51.41919595,AC
Bramley,400,-0.978219453,51.29187667,AC
London,400,-0.131942956,51.53297258,AC
Kemsley,400,0.768177361,51.37601159,AC
Sellindge,400,1.117561796,51.1049268,AC
Lovedean,400,-0.995022392,50.91205028,AC
S.W.Penisula,400,-2.265293518,50.99634637,AC
Netherlands,400,4.0242,51.9605,DC
Belgium,400,3.18378,51.32593,DC
France1,400,1.78443,50.90301,DC
France2,400,-0.26217,49.11079,DC
Ireland,400,-6.5698,53.47463,DC
N. Ireland,400,-5.77047,54.8432,DC
Norway,400,6.652802576,60.15460686,DC
Denmark,400,8.691235999,55.60016536,DC
Germany,400,8.089971372,53.40380708,DC
Ireland2,400,-7.161616438,52.1711231,DC
