name,East Midlands Solar,Eastern Solar,North East Solar,North West Solar,Scotland Solar,South East Solar,Wales Solar,West Midlands Solar,East Midlands Onshore,Eastern Onshore,North East Onshore,North West Onshore,Scotland Onshore,South East Onshore,South West Onshore,Wales Onshore,Yorkshire and Humber Onshore,East Midlands Wind Offshore,Eastern Wind Offshore,North Eastern Wind Offshore,North West Wind Offshore,Scotland Wind Offshore,South East Wind Offshore,Wales Wind Offshore,Yorkshire and Humber Wind Offshore
1/1/2040 0:00,0,0,0,0,0,0,0,0,0.684,0.56,0.873,0.751,0.924,0.352,0.231,0.51,0.843,0.85,0.573,0.923,0.861,0.991,0.352,0.791,0.833
1/1/2040 1:00,0,0,0,0,0,0,0,0,0.748,0.599,0.886,0.711,0.889,0.376,0.238,0.501,0.898,0.889,0.622,0.902,0.846,0.984,0.376,0.773,0.829
1/1/2040 2:00,0,0,0,0,0,0,0,0,0.759,0.599,0.819,0.659,0.845,0.403,0.241,0.458,0.896,0.905,0.635,0.907,0.816,0.977,0.403,0.732,0.792
1/1/2040 3:00,0,0,0,0,0,0,0,0,0.781,0.641,0.69,0.625,0.769,0.413,0.238,0.409,0.879,0.914,0.672,0.892,0.808,0.972,0.413,0.722,0.794
1/1/2040 4:00,0,0,0,0,0,0,0,0,0.744,0.65,0.583,0.556,0.678,0.395,0.227,0.362,0.84,0.884,0.682,0.798,0.762,0.969,0.395,0.693,0.748
1/1/2040 5:00,0,0,0,0,0,0,0,0,0.686,0.663,0.559,0.486,0.618,0.389,0.208,0.338,0.788,0.836,0.684,0.715,0.701,0.97,0.389,0.623,0.65
1/1/2040 6:00,0,0,0,0,0,0,0,0,0.605,0.607,0.551,0.424,0.525,0.39,0.192,0.344,0.718,0.765,0.621,0.686,0.618,0.97,0.39,0.544,0.576
1/1/2040 7:00,0,0,0,0,0,0,0,0,0.538,0.538,0.555,0.388,0.501,0.396,0.179,0.362,0.661,0.702,0.541,0.679,0.56,0.966,0.396,0.486,0.547
1/1/2040 8:00,0.008,0.008,0,0,0,0,0,0,0.484,0.481,0.539,0.378,0.492,0.414,0.169,0.381,0.62,0.638,0.484,0.667,0.556,0.961,0.414,0.491,0.539
1/1/2040 9:00,0.105,0.105,0.148,0.156,0.098,0.016,0.003,0.029,0.412,0.396,0.535,0.338,0.51,0.451,0.158,0.38,0.56,0.575,0.399,0.661,0.522,0.958,0.451,0.488,0.525
